,datetime,Car Park Id,Short Description,Date,Occupancy,Occupancy Percentage,Override Active,State,latitude,longitude
0,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:00:00,37,9.51,false,Spaces,50.726394,-1.8369689999999999
36,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:05:00,37,9.51,false,Spaces,50.726394,-1.8369689999999999
42,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:10:00,37,9.51,false,Spaces,50.726394,-1.8369689999999999
78,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:15:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
84,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:20:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
120,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:25:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
126,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:30:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
162,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:35:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
168,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:40:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
204,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:45:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
210,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:50:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
246,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 00:55:00,37,9.51,false,Spaces,50.726394,-1.8369689999999999
252,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:00:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
288,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:05:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
294,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:10:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
330,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:15:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
336,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:20:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
371,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:25:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
376,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:30:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
411,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:35:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
417,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:40:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
453,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:45:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
459,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:50:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
494,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 01:55:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
500,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:00:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
534,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:05:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
540,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:10:00,39,10.03,false,Spaces,50.726394,-1.8369689999999999
576,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:15:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
582,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:20:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
618,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:25:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
624,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:30:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
660,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:35:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
666,2019-01-30T10:23:42.246823+00:00,14,Hawkwood Road 389 Boscombe,2018-12-05 02:40:00,38,9.77,false,Spaces,50.726394,-1.8369689999999999
